City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,lemvig,56.5486,8.3102,12.46,92,100,4.66,DK,1729306733
133,lubang,13.8584,120.124,28.97,77,61,6.02,PH,1729306734
134,alpine,32.835,-116.7664,15.07,76,26,0.82,US,1729306735
135,bamboo flat,11.7,92.7167,28.05,83,75,1.03,IN,1729306737
136,poshekhon'ye,58.4993,39.1353,4.0,95,100,2.34,RU,1729306738
137,yellowknife,62.456,-114.3525,-4.69,97,20,2.57,CA,1729306629
138,celestun,20.8667,-90.4,26.41,83,98,8.61,MX,1729306741
139,turan,16.0678,108.2208,29.99,70,40,1.03,VN,1729306743
140,miranda do corvo,40.0932,-8.3326,15.41,95,100,1.09,PT,1729306744
141,estevan,49.1334,-102.9842,5.12,56,0,4.12,CA,1729306712
142,beloyarskiy,63.7119,66.6722,-0.8,92,78,2.75,RU,1729306746
143,manadhoo,5.7667,73.3833,28.08,74,97,5.2,MV,1729306748
144,port elizabeth,-33.918,25.5701,14.62,99,75,1.03,ZA,1729306749
145,port alfred,-33.5906,26.891,13.99,95,95,0.45,ZA,1729306750
146,isafjordur,66.0755,-23.124,3.89,96,100,9.19,IS,1729306751
147,nemuro,43.3236,145.575,19.38,91,100,19.27,JP,1729306507
148,kavarna,43.4333,28.3333,5.32,79,3,6.13,BG,1729306753
149,rongelap,11.1635,166.8941,27.97,80,82,6.13,MH,1729306755
150,kashgar,39.4547,75.9797,13.56,15,0,5.0,CN,1729306756
151,ocean shores,46.9737,-124.1563,12.23,97,100,12.35,US,1729306757
152,taulaga,-11.0553,-171.0883,27.99,75,26,4.47,AS,1729306758
153,bella union,-30.2752,-57.6007,16.07,78,0,3.33,UY,1729306607
154,mo i rana,66.3128,14.1428,6.85,93,84,1.54,NO,1729306761
155,thompson,55.7435,-97.8558,5.09,75,75,2.06,CA,1729306762
156,mandello del lario,45.9192,9.3193,14.91,84,100,1.54,IT,1729306763
157,padang,-0.9492,100.3543,29.03,71,25,1.8,ID,1729306609
158,srivardhan,18.0333,73.0167,26.85,83,100,3.06,IN,1729306765
159,moussoro,13.6408,16.4901,29.93,23,30,3.15,TD,1729306766
160,kangding,30.0513,101.9603,10.86,91,98,1.43,CN,1729306768
161,port augusta,-32.5,137.7667,22.65,30,14,5.1,AU,1729306769
162,rio grande,-32.035,-52.0986,16.71,94,63,3.41,BR,1729306770
163,igarka,67.4667,86.5833,-4.71,97,99,2.48,RU,1729306771
164,avarua,-21.2078,-159.775,23.03,73,75,5.66,CK,1729306772
165,castillos,-34.1667,-53.8333,12.05,85,0,0.75,UY,1729306774
166,hermanus,-34.4187,19.2345,13.54,75,82,2.91,ZA,1729306775
167,lihue,21.9789,-159.3672,26.77,78,100,3.09,US,1729306776
168,west island,-12.1568,96.8225,27.99,65,40,3.6,CC,1729306777
169,konstantinovka,49.6167,127.9833,-0.52,27,0,8.36,RU,1729306778
170,valday,57.9747,33.2525,2.6,94,61,1.95,RU,1729306779
171,taroa,8.7058,171.2275,28.68,77,100,5.34,MH,1729306781
172,nuku'alofa,-21.1333,-175.2,23.19,94,100,1.54,TO,1729306783
173,margaret river,-33.95,115.0667,18.78,67,99,7.17,AU,1729306784
174,hamilton,39.1834,-84.5333,12.21,71,0,1.34,US,1729306709
175,qurayyat,31.3318,37.3428,15.1,58,0,0.0,SA,1729306787
176,yebaishou,41.3975,119.6408,3.5,18,2,9.15,CN,1729306789
177,tabou,4.423,-7.3528,24.26,83,90,3.05,CI,1729306790
178,sheridan,44.8333,-106.9173,5.57,77,24,0.45,US,1729306791
179,sibut,5.718,19.0739,21.25,97,100,1.18,CF,1729306793
180,nuuk,64.1835,-51.7216,-2.29,58,2,8.94,GL,1729306629
181,luganville,-15.5333,167.1667,27.27,58,6,3.71,VU,1729306563
182,kampong cham,11.9934,105.4635,28.73,76,100,3.04,KH,1729306796
183,morrope,-6.5417,-80.0111,17.53,84,83,5.76,PE,1729306797
184,lazaro cardenas,17.9583,-102.2,26.41,88,0,1.87,MX,1729306799
185,afaahiti,-17.75,-149.2833,24.73,83,95,4.8,PF,1729306800
186,valentin gomez farias,28.2167,-106.5833,15.57,48,5,5.87,MX,1729306802
187,ta`u,-14.2336,-169.5144,27.32,76,100,3.55,AS,1729306803
188,port mathurin,-19.6833,63.4167,23.26,74,22,7.92,MU,1729306804
189,egilsstadir,65.2653,-14.3948,9.95,71,75,9.26,IS,1729306805
190,villanueva,15.3167,-88.0,25.55,94,75,2.06,HN,1729306807
191,kapuskasing,49.4169,-82.4331,16.0,39,0,6.17,CA,1729306382
192,alofi,-19.0595,-169.9187,23.94,94,75,3.6,NU,1729306809
193,katsuren-haebaru,26.3369,127.8719,31.43,66,40,3.09,JP,1729306810
194,scottburgh,-30.2867,30.7532,18.35,78,97,3.16,ZA,1729306812
195,invercargill,-46.4,168.35,19.45,58,99,3.58,NZ,1729306813
196,lebyazh'ye,55.2689,66.4947,0.56,73,46,1.88,RU,1729306814
197,bardai,11.65,7.2333,21.82,84,73,2.75,NG,1729306815
198,baringo,0.4667,35.9667,20.61,80,97,1.1,KE,1729306818
199,ponta delgada,37.7333,-25.6667,21.4,88,40,7.72,PT,1729306819
200,ha tinh,18.3333,105.9,29.4,72,75,1.41,VN,1729306820
201,piriapolis,-34.8682,-55.2744,14.09,80,0,2.57,UY,1729306821
202,cova figueira,14.8905,-24.2934,22.36,67,100,1.64,CV,1729306822
203,kiffa,16.6166,-11.4045,32.62,33,82,2.16,MR,1729306824
204,ta'izz,13.5,44.0,20.25,68,58,0.86,YE,1729306825
205,sao jose da coroa grande,-8.8978,-35.1478,24.78,76,79,4.38,BR,1729306826
206,vizinga,61.0749,50.1031,2.9,82,100,3.37,RU,1729306827
207,qusmuryn,52.4503,64.6311,4.68,63,69,2.49,KZ,1729306828
208,ha'il,27.5219,41.6907,19.01,32,20,2.06,SA,1729306829
209,kourou,5.1552,-52.6478,26.16,81,2,2.4,GF,1729306831
210,zarghun shahr,32.8473,68.4457,11.99,24,0,1.17,AF,1729306832
211,canico,32.6333,-16.85,20.35,84,75,3.6,PT,1729306833
212,jamestown,42.097,-79.2353,8.8,95,0,1.54,US,1729306715
213,the pas,53.8251,-101.2541,4.01,60,75,2.06,CA,1729306835
214,sonoita,31.85,-112.8333,16.35,21,0,2.36,MX,1729306837
215,sabang,5.8933,95.3214,27.92,81,95,10.89,ID,1729306838
216,sitka,57.0531,-135.33,6.68,95,100,1.49,US,1729306839
217,mezhdurechensk,53.6942,88.0603,0.39,84,100,1.3,RU,1729306840
218,st. john's,47.5649,-52.7093,6.1,72,100,6.17,CA,1729306819
219,kruisfontein,-34.0033,24.7314,11.68,92,54,2.87,ZA,1729306842
220,sao tome,0.3365,6.7273,25.91,76,94,2.54,ST,1729306844
221,kavieng,-2.5744,150.7967,29.43,69,100,1.88,PG,1729306845
222,puquio,-14.7,-74.1333,10.39,39,3,0.65,PE,1729306846
223,kpandae,8.4689,-0.0113,23.44,89,96,1.79,GH,1729306847
224,kavaratti,10.5669,72.642,27.24,83,27,3.47,IN,1729306848
225,utrik,11.2278,169.8474,27.88,81,100,5.78,MH,1729306849
226,beardstown,40.0176,-90.4243,12.09,62,0,3.51,US,1729306851
227,onsong,42.9572,129.9933,4.73,24,0,8.01,KP,1729306852
228,whakatane,-37.9585,176.9854,18.06,74,100,2.24,NZ,1729306853
229,hithadhoo,-0.6,73.0833,28.31,67,47,4.57,MV,1729306854
230,oppdal,62.5943,9.6912,5.56,88,77,5.93,NO,1729306855
231,ancud,-41.8697,-73.8203,9.71,89,100,1.4,CL,1729306806
232,codrington,-38.2667,141.9667,15.75,72,67,5.01,AU,1729306858
233,pontian kechil,1.4866,103.3896,28.38,77,91,1.13,MY,1729306859
234,centenario,-38.8043,-68.14,16.86,59,0,1.03,AR,1729306803
235,qamdo,31.1667,97.2333,6.13,50,100,2.84,CN,1729306833
236,pimenta bueno,-11.6725,-61.1936,22.72,97,100,1.15,BR,1729306863
237,asau,46.4333,26.4,1.05,88,11,1.29,RO,1729306864
238,alice springs,-23.7,133.8833,29.75,26,0,5.66,AU,1729306865
239,longyearbyen,78.2186,15.6401,0.91,75,20,3.6,SJ,1729306866
240,shache,38.4167,77.2406,15.2,12,41,1.14,CN,1729306868
241,kill devil hills,36.0307,-75.676,17.77,64,0,5.14,US,1729306869
242,kargil,34.5667,76.1,2.61,45,2,0.8,IN,1729306870
243,yelizovo,53.1873,158.3805,5.08,75,75,4.0,RU,1729306871
244,senillosa,-39.0,-68.4167,16.88,23,96,1.14,AR,1729306813
245,souillac,-20.5167,57.5167,21.21,94,40,1.54,MU,1729306874
246,kerikeri,-35.2268,173.9474,15.17,85,99,3.91,NZ,1729306875
247,mount gambier,-37.8333,140.7667,18.34,53,41,4.18,AU,1729306876
248,holualoa,19.6228,-155.9522,25.48,85,44,2.76,US,1729306877
249,kiruna,67.8557,20.2251,1.51,93,95,3.09,SE,1729306878
250,rabaul,-4.1967,152.1721,29.76,70,99,4.93,PG,1729306880
251,caleta de carquin,-11.0925,-77.6267,17.29,84,12,3.23,PE,1729306881
252,mattighofen,48.1031,13.1503,13.1,84,100,0.95,AT,1729306883
253,guichon,-32.35,-57.2,15.93,86,0,3.23,UY,1729306884
254,quiberon,47.4841,-3.1196,16.22,85,100,9.5,FR,1729306886
255,port lincoln,-34.7333,135.8667,17.26,60,67,4.12,AU,1729306887
256,ust-nera,64.5667,143.2,-10.71,87,100,1.54,RU,1729306888
257,ibotirama,-12.1853,-43.2206,23.44,87,100,0.7,BR,1729306889
258,polyarnyy,69.1989,33.4478,6.45,86,53,5.16,RU,1729306891
259,greymouth,-42.4667,171.2,16.31,58,34,3.22,NZ,1729306892
260,tazovsky,67.4667,78.7,-2.74,97,95,3.01,RU,1729306893
261,pasuquin,18.3328,120.6177,31.97,74,20,3.09,PH,1729306895
262,skovorodino,53.9833,123.9167,-3.94,36,15,3.57,RU,1729306896
263,smithers,54.7804,-127.1743,2.18,100,100,2.57,CA,1729306897
264,kharp,66.8014,65.8081,0.59,99,100,2.62,RU,1729306899
265,mbamba bay,-11.2833,34.7667,24.31,73,94,1.53,TZ,1729306900
266,puerto cabezas,14.0351,-83.3888,25.45,92,100,2.19,NI,1729306802
267,opuwo,-18.0607,13.84,18.1,32,22,0.94,NA,1729306902
268,meadow lakes,61.6247,-149.6011,0.4,39,0,2.68,US,1729306903
269,rada tilly,-45.9333,-67.5333,11.27,50,0,1.54,AR,1729306905
270,can tho,10.0333,105.7833,30.99,74,40,0.0,VN,1729306907
